Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana
BIRITIBA MIRIM,350660,0.712,2.1320349999999997,33265,317.406,1.0480268173884553,0.06378132118451026,0.14350797266514806,NA,NA,NA,40
BOA ESPERANÇA DO SUL,350670,0.681,2.087723,15111,690.748,0.2187628483904405,0.03225806451612903,0.14516129032258066,NA,NA,NA,40
BOCAINA,350680,0.742,1.7819209999999999,12571,363.926,0.3454273671021032,0.021897810218978103,0.13138686131386862,NA,NA,NA,41
BOFETE,350690,0.705,1.6223,12107,653.541,0.1852523407100702,0.026490066225165563,0.11258278145695365,NA,NA,NA,40
BOITUVA,350700,0.78,3.982936,63310,248.954,2.543040079693437,0.019945602901178604,0.07796917497733455,NA,NA,NA,39
BOM JESUS DOS PERDÕES,350710,0.713,3.6485980000000002,26506,108.366,2.4459701382352397,0.008695652173913044,0.06376811594202898,NA,NA,NA,39
BOM SUCESSO DE ITARARÉ,350715,0.66,1.597241,4013,133.578,0.3004237224692689,0.1111111111111111,0.2222222222222222,NA,NA,NA,38
BORÁ,350720,0.746,8.479614999999999,839,118.951,0.07053324478146464,0,0.2,NA,NA,NA,44
BORACÉIA,350730,0.754,8.022855,4913,122.11,0.4023421505200229,0.01,0.19,NA,NA,NA,37.5
BORBOREMA,350740,0.73,2.337491,16278,552.256,0.2947546065592769,0.02459016393442623,0.29508196721311475,NA,NA,NA,44.5
BOREBI,350745,0.705,2.490582,2713,347.989,0.0779622344384449,0.02702702702702703,0.10810810810810811,NA,NA,NA,38
BOTUCATU,350750,0.8,3.1925209999999997,149718,1482.642,1.0098054688859481,0.02053388090349076,0.15811088295687886,NA,NA,NA,37
BRAGANÇA PAULISTA,350760,0.776,3.7813449999999995,172346,512.584,3.3622976916954106,0.022034332564693827,0.08916218293620293,NA,NA,NA,40
BRAÚNA,350770,0.737,1.743566,5795,195.176,0.2969115055129729,0.07,0.13,NA,NA,NA,43
BREJO ALEGRE,350775,0.71,2.927106,2911,105.689,0.2754307449214204,0.05063291139240506,0.20253164556962025,NA,NA,NA,39
BRODOWSKI,350780,0.755,2.720314,25605,278.458,0.9195282591988737,0.040229885057471264,0.1685823754789272,NA,NA,NA,40
BROTAS,350790,0.74,2.7225669999999997,24862,1101.373,0.2257364217208884,0.028985507246376812,0.15942028985507245,NA,NA,NA,36
BURI,350800,0.667,2.090586,20050,1196.462,0.16757740738945323,0.03257328990228013,0.14006514657980457,NA,NA,NA,34
BURITAMA,350810,0.763,3.7385309999999996,17414,326.921,0.5326669134133323,0.04105571847507331,0.21114369501466276,NA,NA,NA,40
BURITIZAL,350820,0.735,4.001923000000001,4547,266.42,0.1706703700923354,0.05555555555555555,0.125,NA,NA,NA,38
CABRÁLIA PAULISTA,350830,0.694,1.9260490000000001,4222,239.974,0.17593572637035682,0,0.12121212121212122,NA,NA,NA,37
CABREÚVA,350840,0.738,9.551816,51130,260.234,1.9647701683869137,0.03434178250204415,0.14799672935404742,NA,NA,NA,40
CAÇAPAVA,350850,0.788,4.61925,95752,368.99,2.59497547359007,0.03945666235446313,0.12354463130659767,NA,NA,NA,40
CACHOEIRA PAULISTA,350860,0.764,1.8401779999999999,33827,287.99,1.1745893954651203,0.04032258064516129,0.21505376344086022,NA,NA,NA,40
CACONDE,350870,0.72,1.884616,19031,468.214,0.40645943948707214,0.007575757575757576,0.10606060606060606,NA,NA,NA,38
CAFELÂNDIA,350880,0.742,2.855067,17917,920.28,0.194690746294606,0.0275,0.125,NA,NA,NA,35.5
CAIABU,350890,0.729,1.389364,4195,253.352,0.16557990463860559,0.05405405405405406,0.1891891891891892,NA,NA,NA,47
CAIEIRAS,350900,0.781,3.5517309999999997,104044,97.642,10.655660473976363,0.04581850533807829,0.1423487544483986,NA,NA,NA,40
CAIUÁ,350910,0.697,1.3036290000000001,6017,551.159,0.10916994914353209,0.01639344262295082,0.36065573770491804,NA,NA,NA,38
CAJAMAR,350920,0.728,22.435959,79034,131.386,6.015404989877156,0.04878048780487805,0.15071919949968732,NA,NA,NA,40
CAJATI,350925,0.694,5.077698000000001,28441,454.436,0.6258527053314438,0.020654044750430294,0.08089500860585198,NA,NA,NA,39
CAJOBI,350930,0.734,1.487372,10649,176.929,0.6018798501093658,0.02654867256637168,0.16371681415929204,NA,NA,NA,40
CAJURU,350940,0.713,2.206152,26613,660.088,0.4031735162584383,0.023952095808383235,0.09181636726546906,NA,NA,NA,36
CAMPINA DO MONTE ALEGRE,350945,0.717,1.8135709999999998,6088,184.479,0.3300104618953919,0,0.26506024096385544,NA,NA,NA,39
CAMPINAS,350950,0.805,5.141744,1223237,794.571,15.394936387056662,0.04056124748370039,0.2024456929964246,NA,NA,NA,41
CAMPO LIMPO PAULISTA,350960,0.769,2.521106,86407,79.403,10.882082540961928,0.04956896551724138,0.14367816091954022,NA,NA,NA,40
CAMPOS DO JORDÃO,350970,0.749,2.410748,52713,289.981,1.8178087529872646,0.033106134371957155,0.1450827653359299,NA,NA,NA,40
CAMPOS NOVOS PAULISTA,350980,0.706,2.8746560000000003,5028,484.199,0.10384160231640296,0.01904761904761905,0.09523809523809523,NA,NA,NA,44
CANANÉIA,350990,0.72,2.397774,12542,1237.354,0.10136145355330811,0.0392156862745098,0.2107843137254902,NA,NA,NA,43
CANAS,350995,0.704,2.062306,5268,53.261,0.9890914552862319,0.03773584905660377,0.2830188679245283,NA,NA,NA,45
CÂNDIDO MOTA,351000,0.747,3.73726,31410,595.811,0.5271805992168658,0.020114942528735632,0.13793103448275862,NA,NA,NA,39.5
CÂNDIDO RODRIGUES,351010,0.789,3.591703,2805,70.892,0.39567229024431533,0.02127659574468085,0.2127659574468085,NA,NA,NA,44
CANITAR,351015,0.68,3.671302,5365,57.459,0.9337092535547085,0.018518518518518517,0.1111111111111111,NA,NA,NA,34
CAPÃO BONITO,351020,0.721,1.9221419999999998,47098,1640.23,0.28714265682251877,0.028694404591104734,0.09182209469153516,NA,NA,NA,38
CAPELA DO ALTO,351030,0.699,1.334401,21257,169.89,1.251221378539055,0.028368794326241134,0.1347517730496454,NA,NA,NA,39
CAPIVARI,351040,0.75,3.7353400000000003,56973,322.878,1.7645364503001133,0.026296566837107377,0.13951789627465302,NA,NA,NA,38
CARAGUATATUBA,351050,0.759,2.780288,125194,484.947,2.581601700804418,0.044488188976377956,0.16614173228346457,NA,NA,NA,41
CARAPICUÍBA,351060,0.749,1.441333,405375,34.546,117.34354194407457,0.04968405402056746,0.17531904348903482,NA,NA,NA,41
CARDOSO,351070,0.722,2.077049,12371,639.248,0.19352426601256476,0.04216867469879518,0.22289156626506024,NA,NA,NA,44
CASA BRANCA,351080,0.73,2.748844,30655,864.225,0.3547108681188348,0.02032520325203252,0.12195121951219512,NA,NA,NA,37
CÁSSIA DOS COQUEIROS,351090,0.734,5.858194,2488,191.683,0.12979763463635272,0,0.13846153846153847,NA,NA,NA,40
CASTILHO,351100,0.731,4.170815,21521,1065.318,0.2020147974595379,0.017467248908296942,0.08951965065502183,NA,NA,NA,35
CATANDUVA,351110,0.785,3.461118,123114,290.596,4.236603394403226,0.03519895059029296,0.16222125054656755,NA,NA,NA,40
CATIGUÁ,351120,0.751,1.507911,7905,148.393,0.5327070683927139,0.026845637583892617,0.2953020134228188,NA,NA,NA,44
CEDRAL,351130,0.766,3.4238370000000002,9452,197.838,0.47776463571204725,0.03862660944206009,0.15021459227467812,NA,NA,NA,39
CERQUEIRA CÉSAR,351140,0.729,3.060521,20391,511.621,0.3985567441524097,0.03680981595092025,0.11042944785276074,NA,NA,NA,40
CERQUILHO,351150,0.782,3.8133410000000003,50631,127.803,3.9616440928616696,0.022008253094910592,0.1279229711141678,NA,NA,NA,39
CESÁRIO LANGE,351160,0.706,2.412803,18595,190.392,0.9766691877809993,0.029239766081871343,0.10526315789473684,NA,NA,NA,35
CHARQUEADA,351170,0.736,2.080695,17539,175.846,0.9974068218782344,0.022727272727272728,0.16761363636363635,NA,NA,NA,38.5
CHAVANTES,355720,0.729,1.670608,12418,188.727,0.6579874633730202,0.018867924528301886,0.12264150943396226,NA,NA,NA,38
CLEMENTINA,351190,0.725,2.594535,8894,168.59,0.5275520493504953,0.00684931506849315,0.11643835616438356,NA,NA,NA,37.5
COLINA,351200,0.757,6.021814,18601,422.303,0.4404657319507557,0.049019607843137254,0.14705882352941177,NA,NA,NA,39
COLÔMBIA,351210,0.71,5.320743,6223,728.648,0.08540474961847147,0.018867924528301886,0.12264150943396226,NA,NA,NA,36
CONCHAL,351220,0.708,2.488449,28491,182.793,1.5586483071014754,0.03571428571428571,0.13169642857142858,NA,NA,NA,38
CONCHAS,351230,0.736,1.9830729999999999,18138,466.12,0.3891272633656569,0.031141868512110725,0.10034602076124567,NA,NA,NA,37
CORDEIRÓPOLIS,351240,0.758,11.651963,25116,137.579,1.8255693092695833,0.014360313315926894,0.0835509138381201,NA,NA,NA,36
COROADOS,351250,0.719,2.7648490000000003,6197,246.825,0.25106857084979234,0.016666666666666666,0.058333333333333334,NA,NA,NA,43
CORONEL MACEDO,351260,0.69,1.625872,4591,303.83,0.15110423592140343,0.058823529411764705,0.23529411764705882,NA,NA,NA,34.5
CORUMBATAÍ,351270,0.754,6.141868,4072,278.622,0.1461478275225933,0.015151515151515152,0.14393939393939395,NA,NA,NA,41
COSMÓPOLIS,351280,0.769,2.2410360000000003,74662,154.665,4.8273365014709215,0.024818401937046004,0.13196125907990314,NA,NA,NA,40
COSMORAMA,351290,0.722,4.591253,7289,441.68,0.16502898025719978,0.07241379310344828,0.2655172413793103,NA,NA,NA,43
COTIA,351300,0.78,5.122548999999999,257882,323.994,7.959468385217009,0.04959443800695249,0.1413673232908459,NA,NA,NA,41
CRAVINHOS,351310,0.756,3.4165629999999996,35858,311.423,1.1514242685993006,0.08823529411764706,0.4090909090909091,NA,NA,NA,46
CRISTAIS PAULISTA,351320,0.734,2.26171,8803,385.23,0.22851283648729329,0,0.09433962264150944,NA,NA,NA,38
CRUZÁLIA,351330,0.774,4.977812999999999,2021,149.33,0.13533784236255272,0,0.13636363636363635,NA,NA,NA,34.5
CRUZEIRO,351340,0.788,2.974319,82895,305.699,2.7116542743025,0.04151838671411625,0.10083036773428232,NA,NA,NA,41
CUBATÃO,351350,0.737,10.159709,132521,142.879,9.275050917209668,0.031710079275198186,0.16324219381977026,NA,NA,NA,41
CUNHA,351360,0.684,1.197143,21373,1407.25,0.1518777758038728,0.021505376344086023,0.27956989247311825,NA,NA,NA,41
DESCALVADO,351370,0.76,4.73278,34097,753.706,0.452391250699875,0.01486988847583643,0.18587360594795538,NA,NA,NA,37.5
DIADEMA,351380,0.757,3.485575,429550,30.732,139.77287517896656,0.05405714285714286,0.24342857142857144,NA,NA,NA,41
DIRCE REIS,351385,0.741,3.213362,1805,88.133,0.20480410288995043,0,0.08333333333333333,NA,NA,NA,44
DIVINOLÂNDIA,351390,0.734,2.494084,11027,223.749,0.49282901823024905,0.03787878787878788,0.08333333333333333,NA,NA,NA,40
DOBRADA,351400,0.718,1.304555,9088,149.729,0.6069632469327919,0.008771929824561403,0.10526315789473684,NA,NA,NA,39.5
DOIS CÓRREGOS,351410,0.725,2.389669,27704,632.972,0.4376812876398956,0.016286644951140065,0.11074918566775244,NA,NA,NA,36
DOLCINÓPOLIS,351420,0.742,2.184564,2108,77.939,0.27046793004785796,0.07246376811594203,0.2608695652173913,NA,NA,NA,48
DOURADO,351430,0.738,7.072394999999999,8883,205.874,0.431477505658801,0.018867924528301886,0.16981132075471697,NA,NA,NA,38.5
DRACENA,351440,0.776,2.577984,47287,487.688,0.9696158199504602,0.03284258210645526,0.12570781426953567,NA,NA,NA,39
DUARTINA,351450,0.748,1.9047830000000001,12421,264.557,0.46950184648298854,0.01893939393939394,0.07575757575757576,NA,NA,NA,40
DUMONT,351460,0.744,2.358784,10174,111.376,0.9134822582962218,0.00998003992015968,0.19760479041916168,NA,NA,NA,40
ECHAPORÃ,351470,0.745,2.042697,6026,515.258,0.1169511196332711,0.03333333333333333,0.16666666666666666,NA,NA,NA,38.5
ELDORADO,351480,0.691,2.079532,15592,1654.256,0.09425385188265903,0.021671826625386997,0.04953560371517028,NA,NA,NA,38
ELIAS FAUSTO,351490,0.695,4.014454,18095,202.36,0.8941984581933188,0.025036818851251842,0.101620029455081,NA,NA,NA,39
ELISIÁRIO,351492,0.747,1.7685,3742,93.98,0.3981698233666737,0.022222222222222223,0.14814814814814814,NA,NA,NA,40
EMBAÚBA,351495,0.73,2.123883,2446,83.129,0.2942414801092278,0.01818181818181818,0.10909090909090909,NA,NA,NA,38
EMBU DAS ARTES,351500,0.735,4.891466,279264,70.398,39.66930878718146,0.05755782678859602,0.1810112963959118,NA,NA,NA,40
EMBU GUAÇU,351510,0.749,1.629333,70402,155.641,4.523358241080436,0.0407843137254902,0.17647058823529413,NA,NA,NA,39
EMILIANÓPOLIS,351512,0.727,1.9284,3238,225.167,0.14380437630736298,0.03508771929824561,0.15789473684210525,NA,NA,NA,45
ENGENHEIRO COELHO,351515,0.732,3.270136,21712,109.941,1.974877434260194,0.024553571428571428,0.1796875,NA,NA,NA,36
ESPÍRITO SANTO DO PINHAL,351518,0.787,3.243636,44607,389.235,1.1460171875602143,0.022702702702702703,0.16864864864864865,NA,NA,NA,39
ESPÍRITO SANTO DO TURVO,351519,0.696,1.646612,4926,193.666,0.25435543667964433,0,0.11320754716981132,NA,NA,NA,39
ESTIVA GERBI,355730,0.74,2.988347,11507,74.144,1.5519799309451876,0.03067484662576687,0.2331288343558282,NA,NA,NA,41
ESTRELA D'OESTE,351520,0.76,7.437784,8420,296.281,0.2841896712917804,0.026052104208416832,0.20641282565130262,NA,NA,NA,43
ESTRELA DO NORTE,351530,0.74,1.8316560000000002,2774,264.987,0.10468438074320627,0.044444444444444446,0.3111111111111111,NA,NA,NA,46
EUCLIDES DA CUNHA PAULISTA,351535,0.704,1.689329,9280,573.894,0.16170233527445835,0.06,0.26,NA,NA,NA,44.5
FARTURA,351540,0.732,2.316282,16102,429.171,0.3751884446991992,0.017391304347826087,0.11304347826086956,NA,NA,NA,39
FERNANDO PRESTES,351560,0.758,3.3167169999999997,5805,169.99,0.341490675922113,0.02142857142857143,0.19285714285714287,NA,NA,NA,36
FERNANDÓPOLIS,351550,0.797,2.914874,69680,549.797,1.2673768681895317,0.02055045871559633,0.1493577981651376,NA,NA,NA,41
FERNÃO,351565,0.703,2.935998,1739,100.504,0.17302793918650003,0,0.18181818181818182,NA,NA,NA,48
FERRAZ DE VASCONCELOS,351570,0.738,1.634403,198661,29.564,67.196928697064,0.03728330562811684,0.16813108525290904,NA,NA,NA,41
FLORA RICA,351580,0.727,2.532916,1397,224.711,0.062168741183119644,0.04,0.16,NA,NA,NA,44
FLOREAL,351590,0.747,2.180607,2884,204.236,0.1412091893691612,0.023255813953488372,0.16279069767441862,NA,NA,NA,39
