Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana,Doses_diárias
BERTIOGA,350635,0.73,2.738429,66154,491.546,1.345835384684241,0.02405002405002405,0.11784511784511785,NA,NA,NA,39,NA
BILAC,350640,0.768,2.428498,8197,158.025,0.5187153931339978,0.016260162601626018,0.08943089430894309,NA,NA,NA,39,NA
BIRIGUI,350650,0.78,2.7268689999999998,126094,530.031,2.378992926828808,0.03511705685618729,0.1782608695652174,NA,NA,NA,41,NA
BIRITIBA MIRIM,350660,0.712,2.1320349999999997,33265,317.406,1.0480268173884553,0.06378600823045268,0.13991769547325103,NA,NA,NA,40.5,NA
BOA ESPERANÇA DO SUL,350670,0.681,2.087723,15111,690.748,0.2187628483904405,0.03286384976525822,0.14553990610328638,NA,NA,NA,39,NA
BOCAINA,350680,0.742,1.7819209999999999,12571,363.926,0.3454273671021032,0.015957446808510637,0.11170212765957446,NA,NA,NA,40,NA
BOFETE,350690,0.705,1.6223,12107,653.541,0.1852523407100702,0.024539877300613498,0.1165644171779141,NA,NA,NA,40,NA
BOITUVA,350700,0.78,3.982936,63310,248.954,2.543040079693437,0.018764659890539485,0.07896794370602032,NA,NA,NA,39,NA
BOM JESUS DOS PERDÕES,350710,0.713,3.6485980000000002,26506,108.366,2.4459701382352397,0.007936507936507936,0.06613756613756613,NA,NA,NA,39,NA
BOM SUCESSO DE ITARARÉ,350715,0.66,1.597241,4013,133.578,0.3004237224692689,0.1111111111111111,0.2222222222222222,NA,NA,NA,38,NA
BORÁ,350720,0.746,8.479614999999999,839,118.951,0.07053324478146464,0,0.2,NA,NA,NA,44,NA
BORACÉIA,350730,0.754,8.022855,4913,122.11,0.4023421505200229,0.015151515151515152,0.1893939393939394,NA,NA,NA,37,NA
BORBOREMA,350740,0.73,2.337491,16278,552.256,0.2947546065592769,0.03367003367003367,0.2962962962962963,NA,NA,NA,45,NA
BOREBI,350745,0.705,2.490582,2713,347.989,0.0779622344384449,0.05128205128205128,0.1282051282051282,NA,NA,NA,39,NA
BOTUCATU,350750,0.8,3.1925209999999997,149718,1482.642,1.0098054688859481,0.019345238095238096,0.15364583333333334,NA,NA,NA,37,NA
BRAGANÇA PAULISTA,350760,0.776,3.7813449999999995,172346,512.584,3.3622976916954106,0.020231870879745397,0.08524664696521937,NA,NA,NA,40,NA
BRAÚNA,350770,0.737,1.743566,5795,195.176,0.2969115055129729,0.06363636363636363,0.12727272727272726,NA,NA,NA,42.5,NA
BREJO ALEGRE,350775,0.71,2.927106,2911,105.689,0.2754307449214204,0.049019607843137254,0.18627450980392157,NA,NA,NA,37,NA
BRODOWSKI,350780,0.755,2.720314,25605,278.458,0.9195282591988737,0.039383561643835614,0.16095890410958905,NA,NA,NA,40,NA
BROTAS,350790,0.74,2.7225669999999997,24862,1101.373,0.2257364217208884,0.023952095808383235,0.1497005988023952,NA,NA,NA,37,NA
BURI,350800,0.667,2.090586,20050,1196.462,0.16757740738945323,0.030395136778115502,0.12158054711246201,NA,NA,NA,34,NA
BURITAMA,350810,0.763,3.7385309999999996,17414,326.921,0.5326669134133323,0.033482142857142856,0.18080357142857142,NA,NA,NA,40,NA
BURITIZAL,350820,0.735,4.001923000000001,4547,266.42,0.1706703700923354,0.05263157894736842,0.11842105263157894,NA,NA,NA,38,NA
CABRÁLIA PAULISTA,350830,0.694,1.9260490000000001,4222,239.974,0.17593572637035682,0,0.125,NA,NA,NA,36.5,NA
CABREÚVA,350840,0.738,9.551816,51130,260.234,1.9647701683869137,0.032600454890068235,0.14480667172100076,NA,NA,NA,39,NA
CAÇAPAVA,350850,0.788,4.61925,95752,368.99,2.59497547359007,0.037897310513447434,0.12102689486552567,NA,NA,NA,40,NA
CACHOEIRA PAULISTA,350860,0.764,1.8401779999999999,33827,287.99,1.1745893954651203,0.03981264637002342,0.2224824355971897,NA,NA,NA,40,NA
CACONDE,350870,0.72,1.884616,19031,468.214,0.40645943948707214,0.00510204081632653,0.12244897959183673,NA,NA,NA,38,NA
CAFELÂNDIA,350880,0.742,2.855067,17917,920.28,0.194690746294606,0.027649769585253458,0.12672811059907835,NA,NA,NA,36,NA
CAIABU,350890,0.729,1.389364,4195,253.352,0.16557990463860559,0.05,0.175,NA,NA,NA,46,NA
CAIEIRAS,350900,0.781,3.5517309999999997,104044,97.642,10.655660473976363,0.0412573673870334,0.13280943025540276,NA,NA,NA,40,NA
CAIUÁ,350910,0.697,1.3036290000000001,6017,551.159,0.10916994914353209,0.016129032258064516,0.3548387096774194,NA,NA,NA,38,NA
CAJAMAR,350920,0.728,22.435959,79034,131.386,6.015404989877156,0.047164179104477615,0.14865671641791045,NA,NA,NA,40,NA
CAJATI,350925,0.694,5.077698000000001,28441,454.436,0.6258527053314438,0.02145214521452145,0.08195819581958196,NA,NA,NA,40,NA
CAJOBI,350930,0.734,1.487372,10649,176.929,0.6018798501093658,0.029661016949152543,0.1694915254237288,NA,NA,NA,40,NA
CAJURU,350940,0.713,2.206152,26613,660.088,0.4031735162584383,0.026022304832713755,0.09107806691449814,NA,NA,NA,37,NA
CAMPINA DO MONTE ALEGRE,350945,0.717,1.8135709999999998,6088,184.479,0.3300104618953919,0,0.25842696629213485,NA,NA,NA,39,NA
CAMPINAS,350950,0.805,5.141744,1223237,794.571,15.394936387056662,0.03931479921370402,0.19955068800898623,NA,NA,NA,41,NA
CAMPO LIMPO PAULISTA,350960,0.769,2.521106,86407,79.403,10.882082540961928,0.04652686762778506,0.14089121887287026,NA,NA,NA,40,NA
CAMPOS DO JORDÃO,350970,0.749,2.410748,52713,289.981,1.8178087529872646,0.030329289428076257,0.1360485268630849,NA,NA,NA,40,NA
CAMPOS NOVOS PAULISTA,350980,0.706,2.8746560000000003,5028,484.199,0.10384160231640296,0.01834862385321101,0.10091743119266056,NA,NA,NA,44,NA
CANANÉIA,350990,0.72,2.397774,12542,1237.354,0.10136145355330811,0.0410958904109589,0.2054794520547945,NA,NA,NA,43,NA
CANAS,350995,0.704,2.062306,5268,53.261,0.9890914552862319,0.037037037037037035,0.2777777777777778,NA,NA,NA,45,NA
CÂNDIDO MOTA,351000,0.747,3.73726,31410,595.811,0.5271805992168658,0.01728395061728395,0.1308641975308642,NA,NA,NA,39,NA
CÂNDIDO RODRIGUES,351010,0.789,3.591703,2805,70.892,0.39567229024431533,0.02,0.22,NA,NA,NA,46,NA
CANITAR,351015,0.68,3.671302,5365,57.459,0.9337092535547085,0.015625,0.09375,NA,NA,NA,32.5,NA
CAPÃO BONITO,351020,0.721,1.9221419999999998,47098,1640.23,0.28714265682251877,0.035838150289017344,0.09942196531791908,NA,NA,NA,38,NA
CAPELA DO ALTO,351030,0.699,1.334401,21257,169.89,1.251221378539055,0.02564102564102564,0.13141025641025642,NA,NA,NA,39,NA
CAPIVARI,351040,0.75,3.7353400000000003,56973,322.878,1.7645364503001133,0.023717948717948717,0.14294871794871794,NA,NA,NA,38,NA
CARAGUATATUBA,351050,0.759,2.780288,125194,484.947,2.581601700804418,0.040716040716040715,0.15795015795015796,NA,NA,NA,41,NA
CARAPICUÍBA,351060,0.749,1.441333,405375,34.546,117.34354194407457,0.045479096899643516,0.17122177811385977,NA,NA,NA,41,NA
CARDOSO,351070,0.722,2.077049,12371,639.248,0.19352426601256476,0.04716981132075472,0.2358490566037736,NA,NA,NA,45,NA
CASA BRANCA,351080,0.73,2.748844,30655,864.225,0.3547108681188348,0.021739130434782608,0.1213768115942029,NA,NA,NA,37,NA
